 ( 0.81846233742304919     , -10.028706855202872     )
 ( 0.59734225974978683     , -1.9691736461225324     )
 ( 0.55127015441456262     , -1.0313539453662428     )
 ( 0.53247768219081826     ,-0.64882599810902652     )
 ( 0.52163390196109161     ,-0.42809387991666348     )
 ( 0.51410274551290969     ,-0.27479365333420841     )
 ( 0.50817602379080618     ,-0.15415352969854024     )
 ( 0.50303692604480599     , -4.9544837763588534E-002)
 ( 0.49819245796997602     ,  4.9067674327418764E-002)
 ( 0.49325233214056302     , 0.14962645030714627     )
 ( 0.48779410142640950     , 0.26073137241004007     )
 ( 0.48120217241842400     , 0.39491237740367602     )
 ( 0.47232881014010131     , 0.57553432039248775     )
 ( 0.45846551860300927     , 0.85772862283011619     )
 ( 0.43083029825400437     ,  1.4202569887532119     )
 ( 0.33400420343828213     ,  3.3911998780853096     )
