           0           0           0 ( -2.8712711934835876E-004,  2.9153287793049591E-003)
           1           0           0 (  9.8203352498931752E-006,  1.9531279679316375E-006)
           2           0           0 (  6.5715681612392630E-008,  3.5987703326511851E-008)
           0           1           0 (  9.8203352498931176E-006,  1.9531279679316680E-006)
           1           1           0 (  6.5715681612396018E-008,  3.5987703326494910E-008)
           2           1           0 (  6.4461390128920846E-010,  4.9948388953130517E-010)
           0           2           0 (  6.5715681612490886E-008,  3.5987703326484746E-008)
           1           2           0 (  6.4461390128920846E-010,  4.9948388952114077E-010)
           2           2           0 (  8.1454607971521552E-012,  8.7914112567501895E-012)
           0           0           1 (  2.9154734194336961E-003,  2.8710965098629066E-004)
           1           0           1 (  9.5412426960616395E-006,  3.3559840977464600E-006)
           2           0           1 (  6.5250149495409444E-008,  3.5116652697217235E-008)
           0           1           1 (  9.5412426960615667E-006,  3.3559840977464498E-006)
           1           1           1 (  6.5250149495407207E-008,  3.5116652697191248E-008)
           2           1           1 (  6.4555895763234337E-010,  4.9987541620690023E-010)
           0           2           1 (  6.5250149495550501E-008,  3.5116652697184485E-008)
           1           2           1 (  6.4555895763380169E-010,  4.9987541622072480E-010)
           2           2           1 (  8.1441089427366473E-012,  8.7918212315702260E-012)
           0           0           2 (  2.9154474126190017E-003,  2.8710175850209273E-004)
           1           0           2 (  9.5412600344741463E-006,  3.3559769183106617E-006)
           2           0           2 (  6.5250140331132506E-008,  3.5116669837644745E-008)
           0           1           2 (  9.5412600344741005E-006,  3.3559769183106638E-006)
           1           1           2 (  6.5250140331146972E-008,  3.5116669837646935E-008)
           2           1           2 (  6.4555895239443720E-010,  4.9987538988889038E-010)
           0           2           2 (  6.5250140331273339E-008,  3.5116669837659290E-008)
           1           2           2 (  6.4555895239732924E-010,  4.9987538989248407E-010)
           2           2           2 (  8.1441090262028821E-012,  8.7918212362631205E-012)
           0           0           3 (  2.9154254219610131E-003,  2.8709502667057299E-004)
           1           0           3 (  9.5412747206283657E-006,  3.3559708784750743E-006)
           2           0           3 (  6.5250132541836899E-008,  3.5116684323009597E-008)
           0           1           3 (  9.5412747206283267E-006,  3.3559708784750730E-006)
           1           1           3 (  6.5250132541825676E-008,  3.5116684322998029E-008)
           2           1           3 (  6.4555894801555935E-010,  4.9987536760611210E-010)
           0           2           3 (  6.5250132542016589E-008,  3.5116684323011595E-008)
           1           2           3 (  6.4555894800949198E-010,  4.9987536761958201E-010)
           2           2           3 (  8.1441089639524536E-012,  8.7918213058660458E-012)
           0           0           4 (  2.9154073077804835E-003,  2.8708959553872633E-004)
           1           0           4 (  9.5412867678417902E-006,  3.3559658423739397E-006)
           2           0           4 (  6.5250126205927857E-008,  3.5116696270789119E-008)
           0           1           4 (  9.5412867678417479E-006,  3.3559658423739516E-006)
           1           1           4 (  6.5250126205919386E-008,  3.5116696270773873E-008)
           2           1           4 (  6.4555894430020494E-010,  4.9987534928749009E-010)
           0           2           4 (  6.5250126206104040E-008,  3.5116696270765402E-008)
           1           2           4 (  6.4555894430189901E-010,  4.9987534929257229E-010)
           2           2           4 (  8.1441089495089963E-012,  8.7918213121762189E-012)
           0           0           5 (  2.9153932359200253E-003,  2.8708523477228518E-004)
           1           0           5 (  9.5412961885753096E-006,  3.3559620056563229E-006)
           2           0           5 (  6.5250121184821617E-008,  3.5116705532529533E-008)
           0           1           5 (  9.5412961885752402E-006,  3.3559620056563276E-006)
           1           1           5 (  6.5250121184817197E-008,  3.5116705532516311E-008)
           2           1           5 (  6.4555894154178890E-010,  4.9987533501458685E-010)
           0           2           5 (  6.5250121184985240E-008,  3.5116705532525569E-008)
           1           2           5 (  6.4555894155245053E-010,  4.9987533501421410E-010)
           2           2           5 (  8.1441090132008291E-012,  8.7918213621260792E-012)
           0           0           6 (  2.9153832537363094E-003,  2.8708221007111770E-004)
           1           0           6 (  9.5413028412336685E-006,  3.3559592472898236E-006)
           2           0           6 (  6.5250117671279228E-008,  3.5116712112109268E-008)
           0           1           6 (  9.5413028412335973E-006,  3.3559592472897994E-006)
           1           1           6 (  6.5250117671283106E-008,  3.5116712112096503E-008)
           2           1           6 (  6.4555893950717698E-010,  4.9987532494433053E-010)
