 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -551770714
   500000000.000000        11735548.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (9926817.00000000,7.443699101979498E-004)
 (30264.4874787155,-2.269405573480243E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.3799746397E-001+/-     0.098533%    +i  -0.1272603974E+000+/-     0.098532%
  1     0.4797791140E-001+/-     0.064989%    +i  -0.1450615510E+000+/-     0.064957%
  2     0.5742304152E-001+/-     0.062890%    +i  -0.1526636332E+000+/-     0.062869%
  3     0.5930571087E-001+/-     0.065108%    +i  -0.1401131035E+000+/-     0.065094%
  4     0.6257579899E-001+/-     0.066382%    +i  -0.1322930744E+000+/-     0.066372%
  5     0.6930843667E-001+/-     0.065659%    +i  -0.1325430979E+000+/-     0.065653%
  6     0.6638180412E-001+/-     0.069677%    +i  -0.1150289868E+000+/-     0.069673%
  7     0.7167985606E-001+/-     0.069340%    +i  -0.1133337043E+000+/-     0.069337%
  8     0.8206397074E-001+/-     0.066817%    +i  -0.1188324322E+000+/-     0.066815%
  9     0.8372805412E-001+/-     0.068042%    +i  -0.1112757900E+000+/-     0.068041%
 10     0.9384852447E-001+/-     0.065938%    +i  -0.1148068241E+000+/-     0.065938%
 11     0.7699778891E-001+/-     0.074536%    +i  -0.8682529291E-001+/-     0.074535%
 12     0.8763599050E-001+/-     0.071428%    +i  -0.9103778637E-001+/-     0.071428%
 13     0.9961945453E-001+/-     0.068358%    +i  -0.9545432567E-001+/-     0.068358%
 14     0.1082411301E+000+/-     0.066815%    +i  -0.9560365361E-001+/-     0.066815%
 15     0.9646527685E-001+/-     0.071981%    +i  -0.7859657599E-001+/-     0.071981%
 16     0.1145317301E+000+/-     0.067115%    +i  -0.8583675950E-001+/-     0.067115%
 17     0.1141841256E+000+/-     0.068199%    +i  -0.7858714534E-001+/-     0.068199%
 18     0.1134236587E+000+/-     0.069337%    +i  -0.7154186264E-001+/-     0.069337%
 19     0.1184602835E+000+/-     0.068680%    +i  -0.6818070066E-001+/-     0.068680%
 20     0.1268107946E+000+/-     0.067115%    +i  -0.6636560165E-001+/-     0.067116%
 21     0.1253362196E+000+/-     0.068199%    +i  -0.5920013941E-001+/-     0.068200%
 22     0.1269888406E+000+/-     0.068358%    +i  -0.5393769061E-001+/-     0.068360%
 23     0.1242306942E+000+/-     0.069673%    +i  -0.4696278179E-001+/-     0.069676%
 24     0.1259970614E+000+/-     0.069673%    +i  -0.4199335950E-001+/-     0.069678%
 25     0.1468033153E+000+/-     0.064956%    +i  -0.4237411132E-001+/-     0.064965%
 26     0.1671796995E+000+/-     0.061198%    +i  -0.4101534789E-001+/-     0.061212%
 27     0.1111878640E+000+/-     0.075377%    +i  -0.2263595958E-001+/-     0.075406%
 28     0.1482893083E+000+/-     0.065512%    +i  -0.2398569728E-001+/-     0.065557%
 29     0.1420755409E+000+/-     0.067115%    +i  -0.1729634013E-001+/-     0.067208%
 30     0.1401050922E+000+/-     0.067728%    +i  -0.1111635624E-001+/-     0.067970%
 31     0.1339827198E+000+/-     0.069337%    +i  -0.5559265978E-002+/-     0.070348%
 32     0.1766479810E+000+/-     0.060412%    +i  -0.1324608298E-010+/-     0.000000%
 33     0.1339827198E+000+/-     0.069337%    +i   0.5559265958E-002+/-     0.070348%
 34     0.1401050922E+000+/-     0.067728%    +i   0.1111635622E-001+/-     0.067970%
 35     0.1420755409E+000+/-     0.067115%    +i   0.1729634011E-001+/-     0.067208%
 36     0.1482893083E+000+/-     0.065512%    +i   0.2398569726E-001+/-     0.065557%
 37     0.1111878640E+000+/-     0.075377%    +i   0.2263595956E-001+/-     0.075406%
 38     0.1671796995E+000+/-     0.061198%    +i   0.4101534786E-001+/-     0.061212%
 39     0.1468033153E+000+/-     0.064956%    +i   0.4237411130E-001+/-     0.064965%
 40     0.1259970615E+000+/-     0.069673%    +i   0.4199335948E-001+/-     0.069678%
 41     0.1242306942E+000+/-     0.069673%    +i   0.4696278178E-001+/-     0.069676%
 42     0.1269888407E+000+/-     0.068358%    +i   0.5393769059E-001+/-     0.068360%
 43     0.1253362196E+000+/-     0.068199%    +i   0.5920013939E-001+/-     0.068200%
 44     0.1268107946E+000+/-     0.067115%    +i   0.6636560163E-001+/-     0.067116%
 45     0.1184602835E+000+/-     0.068680%    +i   0.6818070064E-001+/-     0.068680%
 46     0.1134236587E+000+/-     0.069337%    +i   0.7154186262E-001+/-     0.069337%
 47     0.1141841256E+000+/-     0.068199%    +i   0.7858714532E-001+/-     0.068199%
 48     0.1145317301E+000+/-     0.067115%    +i   0.8583675948E-001+/-     0.067115%
 49     0.9646527686E-001+/-     0.071981%    +i   0.7859657598E-001+/-     0.071981%
 50     0.1082411301E+000+/-     0.066815%    +i   0.9560365360E-001+/-     0.066815%
 51     0.9961945454E-001+/-     0.068358%    +i   0.9545432565E-001+/-     0.068358%
 52     0.8763599052E-001+/-     0.071428%    +i   0.9103778635E-001+/-     0.071428%
 53     0.7699778892E-001+/-     0.074536%    +i   0.8682529290E-001+/-     0.074535%
 54     0.9384852448E-001+/-     0.065938%    +i   0.1148068241E+000+/-     0.065938%
 55     0.8372805413E-001+/-     0.068042%    +i   0.1112757900E+000+/-     0.068041%
 56     0.8206397075E-001+/-     0.066817%    +i   0.1188324322E+000+/-     0.066815%
 57     0.7167985608E-001+/-     0.069340%    +i   0.1133337043E+000+/-     0.069337%
 58     0.6638180414E-001+/-     0.069677%    +i   0.1150289868E+000+/-     0.069673%
 59     0.6930843669E-001+/-     0.065659%    +i   0.1325430979E+000+/-     0.065653%
 60     0.6257579901E-001+/-     0.066382%    +i   0.1322930744E+000+/-     0.066372%
 61     0.5930571089E-001+/-     0.065108%    +i   0.1401131035E+000+/-     0.065094%
 62     0.5742304154E-001+/-     0.062890%    +i   0.1526636332E+000+/-     0.062869%
 63     0.4797791142E-001+/-     0.064989%    +i   0.1450615510E+000+/-     0.064957%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -551770714
   1000000000.00000        23486985.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (19873423.0000000,2.976416865531060E-003)
 (30254.8190112997,-4.531225122558005E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4514686048E-001+/-     0.063887%    +i  -0.1512024655E+000+/-     0.063887%
