 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -478204597
   500000000.000000        11742466.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (9926886.00000000,7.392531785039728E-004)
 (30282.1176348756,-2.255103132383410E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4611020696E-001+/-     0.089442%    +i  -0.1544420221E+000+/-     0.089442%
  1     0.5584655779E-001+/-     0.060222%    +i  -0.1689399161E+000+/-     0.060193%
  2     0.5811188776E-001+/-     0.062520%    +i  -0.1544696655E+000+/-     0.062500%
  3     0.6828195680E-001+/-     0.060758%    +i  -0.1608145393E+000+/-     0.060745%
  4     0.6314658245E-001+/-     0.066091%    +i  -0.1334482999E+000+/-     0.066082%
  5     0.6614934678E-001+/-     0.067274%    +i  -0.1261910227E+000+/-     0.067267%
  6     0.7396174975E-001+/-     0.065942%    +i  -0.1285179800E+000+/-     0.065938%
  7     0.9301329298E-001+/-     0.060860%    +i  -0.1471350827E+000+/-     0.060858%
  8     0.8535278245E-001+/-     0.065513%    +i  -0.1236114819E+000+/-     0.065512%
  9     0.8636554314E-001+/-     0.066966%    +i  -0.1149378070E+000+/-     0.066965%
 10     0.8692147649E-001+/-     0.068519%    +i  -0.1063120374E+000+/-     0.068519%
 11     0.9500788580E-001+/-     0.067115%    +i  -0.1070441990E+000+/-     0.067115%
 12     0.1037047003E+000+/-     0.065653%    +i  -0.1077842227E+000+/-     0.065653%
 13     0.9306143192E-001+/-     0.070710%    +i  -0.8925098533E-001+/-     0.070710%
 14     0.1004823309E+000+/-     0.069337%    +i  -0.8880428912E-001+/-     0.069337%
 15     0.1319597891E+000+/-     0.061545%    +i  -0.1074995231E+000+/-     0.061545%
 16     0.1181398311E+000+/-     0.066081%    +i  -0.8854596230E-001+/-     0.066081%
 17     0.1306385414E+000+/-     0.063757%    +i  -0.8992994207E-001+/-     0.063757%
 18     0.1134163961E+000+/-     0.069337%    +i  -0.7155163244E-001+/-     0.069337%
 19     0.1246082951E+000+/-     0.066964%    +i  -0.7171379359E-001+/-     0.066965%
 20     0.1234006713E+000+/-     0.068041%    +i  -0.6453698757E-001+/-     0.068041%
 21     0.1241174755E+000+/-     0.068518%    +i  -0.5875887141E-001+/-     0.068519%
 22     0.1198361653E+000+/-     0.070359%    +i  -0.5098570405E-001+/-     0.070361%
 23     0.1308406667E+000+/-     0.067884%    +i  -0.4953045630E-001+/-     0.067887%
 24     0.1107107921E+000+/-     0.074329%    +i  -0.3688058900E-001+/-     0.074335%
 25     0.1214095628E+000+/-     0.071428%    +i  -0.3503139206E-001+/-     0.071437%
 26     0.1101844608E+000+/-     0.075377%    +i  -0.2709970663E-001+/-     0.075394%
 27     0.1244340190E+000+/-     0.071247%    +i  -0.2543348861E-001+/-     0.071273%
 28     0.1438289672E+000+/-     0.066518%    +i  -0.2329142449E-001+/-     0.066565%
 29     0.1465453677E+000+/-     0.066081%    +i  -0.1791596477E-001+/-     0.066171%
 30     0.1330062223E+000+/-     0.069504%    +i  -0.1090803845E-001+/-     0.069735%
 31     0.1243313632E+000+/-     0.071981%    +i  -0.4867269118E-002+/-     0.073163%
 32     0.1469907313E+000+/-     0.066226%    +i  -0.1094636982E-010+/-     0.000000%
 33     0.1243313632E+000+/-     0.071981%    +i   0.4867269099E-002+/-     0.073163%
 34     0.1330062223E+000+/-     0.069504%    +i   0.1090803843E-001+/-     0.069735%
 35     0.1465453677E+000+/-     0.066081%    +i   0.1791596475E-001+/-     0.066171%
 36     0.1438289672E+000+/-     0.066518%    +i   0.2329142447E-001+/-     0.066565%
 37     0.1244340190E+000+/-     0.071247%    +i   0.2543348859E-001+/-     0.071273%
 38     0.1101844608E+000+/-     0.075377%    +i   0.2709970661E-001+/-     0.075394%
 39     0.1214095628E+000+/-     0.071428%    +i   0.3503139205E-001+/-     0.071437%
 40     0.1107107921E+000+/-     0.074329%    +i   0.3688058899E-001+/-     0.074335%
 41     0.1308406667E+000+/-     0.067884%    +i   0.4953045628E-001+/-     0.067887%
 42     0.1198361653E+000+/-     0.070359%    +i   0.5098570403E-001+/-     0.070361%
 43     0.1241174755E+000+/-     0.068518%    +i   0.5875887139E-001+/-     0.068519%
 44     0.1234006713E+000+/-     0.068041%    +i   0.6453698755E-001+/-     0.068041%
 45     0.1246082951E+000+/-     0.066964%    +i   0.7171379357E-001+/-     0.066965%
 46     0.1134163961E+000+/-     0.069337%    +i   0.7155163242E-001+/-     0.069337%
 47     0.1306385414E+000+/-     0.063757%    +i   0.8992994205E-001+/-     0.063757%
 48     0.1181398311E+000+/-     0.066081%    +i   0.8854596229E-001+/-     0.066081%
 49     0.1319597891E+000+/-     0.061545%    +i   0.1074995230E+000+/-     0.061545%
 50     0.1004823309E+000+/-     0.069337%    +i   0.8880428911E-001+/-     0.069337%
 51     0.9306143194E-001+/-     0.070710%    +i   0.8925098531E-001+/-     0.070710%
 52     0.1037047003E+000+/-     0.065653%    +i   0.1077842227E+000+/-     0.065653%
 53     0.9500788582E-001+/-     0.067115%    +i   0.1070441990E+000+/-     0.067115%
 54     0.8692147651E-001+/-     0.068519%    +i   0.1063120373E+000+/-     0.068519%
 55     0.8636554316E-001+/-     0.066966%    +i   0.1149378070E+000+/-     0.066965%
 56     0.8535278247E-001+/-     0.065513%    +i   0.1236114819E+000+/-     0.065512%
 57     0.9301329301E-001+/-     0.060860%    +i   0.1471350826E+000+/-     0.060858%
 58     0.7396174977E-001+/-     0.065942%    +i   0.1285179800E+000+/-     0.065938%
 59     0.6614934680E-001+/-     0.067274%    +i   0.1261910227E+000+/-     0.067267%
 60     0.6314658247E-001+/-     0.066091%    +i   0.1334482999E+000+/-     0.066082%
 61     0.6828195682E-001+/-     0.060758%    +i   0.1608145393E+000+/-     0.060745%
 62     0.5811188778E-001+/-     0.062520%    +i   0.1544696655E+000+/-     0.062500%
 63     0.5584655782E-001+/-     0.060222%    +i   0.1689399161E+000+/-     0.060193%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -478204597
   1000000000.00000        23474954.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (19848510.0000000,2.961326864097553E-003)
 (30277.2763497109,-4.517261589212709E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4243253547E-001+/-     0.065938%    +i  -0.1421243588E+000+/-     0.065938%
  1     0.4972205882E-001+/-     0.045151%    +i  -0.1502994910E+000+/-     0.045129%
  2     0.6045432644E-001+/-     0.043369%    +i  -0.1605249016E+000+/-     0.043355%
  3     0.6915719538E-001+/-     0.042688%    +i  -0.1629452442E+000+/-     0.042679%
  4     0.6692165592E-001+/-     0.045414%    +i  -0.1413363709E+000+/-     0.045408%
  5     0.7476899590E-001+/-     0.044725%    +i  -0.1428300100E+000+/-     0.044721%
  6     0.7495844230E-001+/-     0.046327%    +i  -0.1302218301E+000+/-     0.046324%
  7     0.8599186262E-001+/-     0.044768%    +i  -0.1359884440E+000+/-     0.044766%
  8     0.8459360672E-001+/-     0.046525%    +i  -0.1226167429E+000+/-     0.046524%
  9     0.8309028573E-001+/-     0.048281%    +i  -0.1105900803E+000+/-     0.048280%
 10     0.8775873403E-001+/-     0.048224%    +i  -0.1073404929E+000+/-     0.048224%
 11     0.9500294561E-001+/-     0.047458%    +i  -0.1070993108E+000+/-     0.047458%
 12     0.1024211812E+000+/-     0.046727%    +i  -0.1063894572E+000+/-     0.046727%
 13     0.9078329327E-001+/-     0.050637%    +i  -0.8701738346E-001+/-     0.050637%
 14     0.1034052373E+000+/-     0.048336%    +i  -0.9139360060E-001+/-     0.048336%
 15     0.1235024532E+000+/-     0.044992%    +i  -0.1005948521E+000+/-     0.044992%
 16     0.1153330429E+000+/-     0.047298%    +i  -0.8644213806E-001+/-     0.047298%
 17     0.1227048302E+000+/-     0.046524%    +i  -0.8446947626E-001+/-     0.046524%
 18     0.1088168588E+000+/-     0.050062%    +i  -0.6863564681E-001+/-     0.050062%
 19     0.1279826880E+000+/-     0.046726%    +i  -0.7368406348E-001+/-     0.046727%
 20     0.1228464470E+000+/-     0.048224%    +i  -0.6428483283E-001+/-     0.048224%
 21     0.1192129418E+000+/-     0.049446%    +i  -0.5639322276E-001+/-     0.049447%
 22     0.1225514114E+000+/-     0.049206%    +i  -0.5210438265E-001+/-     0.049208%
 23     0.1311850734E+000+/-     0.047946%    +i  -0.4963615680E-001+/-     0.047948%
 24     0.1226815814E+000+/-     0.049937%    +i  -0.4083208332E-001+/-     0.049941%
 25     0.1322684986E+000+/-     0.048393%    +i  -0.3822564334E-001+/-     0.048399%
 26     0.1211685236E+000+/-     0.050832%    +i  -0.2981803421E-001+/-     0.050844%
 27     0.1251120575E+000+/-     0.050252%    +i  -0.2550433554E-001+/-     0.050271%
 28     0.1406955671E+000+/-     0.047565%    +i  -0.2271199292E-001+/-     0.047598%
 29     0.1465921975E+000+/-     0.046726%    +i  -0.1785485649E-001+/-     0.046791%
 30     0.1352948323E+000+/-     0.048737%    +i  -0.1104747309E-001+/-     0.048903%
 31     0.1298415199E+000+/-     0.049813%    +i  -0.5082752216E-002+/-     0.050631%
 32     0.1425156290E+000+/-     0.047565%    +i  -0.2126282329E-010+/-     0.000000%
 33     0.1298415199E+000+/-     0.049813%    +i   0.5082752177E-002+/-     0.050631%
 34     0.1352948323E+000+/-     0.048737%    +i   0.1104747305E-001+/-     0.048903%
 35     0.1465921975E+000+/-     0.046726%    +i   0.1785485644E-001+/-     0.046791%
 36     0.1406955671E+000+/-     0.047565%    +i   0.2271199288E-001+/-     0.047598%
 37     0.1251120575E+000+/-     0.050252%    +i   0.2550433550E-001+/-     0.050271%
 38     0.1211685236E+000+/-     0.050832%    +i   0.2981803417E-001+/-     0.050844%
 39     0.1322684986E+000+/-     0.048393%    +i   0.3822564330E-001+/-     0.048399%
 40     0.1226815814E+000+/-     0.049937%    +i   0.4083208329E-001+/-     0.049941%
 41     0.1311850734E+000+/-     0.047946%    +i   0.4963615677E-001+/-     0.047948%
 42     0.1225514114E+000+/-     0.049206%    +i   0.5210438262E-001+/-     0.049208%
 43     0.1192129419E+000+/-     0.049446%    +i   0.5639322273E-001+/-     0.049447%
 44     0.1228464470E+000+/-     0.048224%    +i   0.6428483279E-001+/-     0.048224%
 45     0.1279826880E+000+/-     0.046726%    +i   0.7368406344E-001+/-     0.046727%
 46     0.1088168588E+000+/-     0.050062%    +i   0.6863564677E-001+/-     0.050062%
 47     0.1227048303E+000+/-     0.046524%    +i   0.8446947622E-001+/-     0.046524%
 48     0.1153330429E+000+/-     0.047298%    +i   0.8644213802E-001+/-     0.047298%
 49     0.1235024532E+000+/-     0.044992%    +i   0.1005948521E+000+/-     0.044992%
 50     0.1034052373E+000+/-     0.048336%    +i   0.9139360057E-001+/-     0.048336%
 51     0.9078329329E-001+/-     0.050637%    +i   0.8701738343E-001+/-     0.050637%
 52     0.1024211812E+000+/-     0.046727%    +i   0.1063894571E+000+/-     0.046727%
 53     0.9500294565E-001+/-     0.047458%    +i   0.1070993108E+000+/-     0.047458%
 54     0.8775873406E-001+/-     0.048224%    +i   0.1073404929E+000+/-     0.048224%
 55     0.8309028576E-001+/-     0.048281%    +i   0.1105900803E+000+/-     0.048280%
 56     0.8459360675E-001+/-     0.046525%    +i   0.1226167429E+000+/-     0.046524%
 57     0.8599186266E-001+/-     0.044768%    +i   0.1359884440E+000+/-     0.044766%
 58     0.7495844234E-001+/-     0.046327%    +i   0.1302218300E+000+/-     0.046324%
 59     0.7476899595E-001+/-     0.044725%    +i   0.1428300100E+000+/-     0.044721%
 60     0.6692165596E-001+/-     0.045414%    +i   0.1413363709E+000+/-     0.045408%
 61     0.6915719543E-001+/-     0.042688%    +i   0.1629452442E+000+/-     0.042679%
 62     0.6045432649E-001+/-     0.043369%    +i   0.1605249015E+000+/-     0.043355%
 63     0.4972205887E-001+/-     0.045151%    +i   0.1502994910E+000+/-     0.045129%
 
 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -478204597
   1500000000.00000        35253781.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (29813301.0000000,6.688331881803128E-003)
 (30271.6157999411,-6.791150468995078E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.4262175411E-001+/-     0.053683%    +i  -0.1427535303E+000+/-     0.053683%
  1     0.5205234481E-001+/-     0.035985%    +i  -0.1575545010E+000+/-     0.035967%
  2     0.5887842026E-001+/-     0.035840%    +i  -0.1565110308E+000+/-     0.035829%
  3     0.7152835346E-001+/-     0.034247%    +i  -0.1685566414E+000+/-     0.034239%
  4     0.6766364830E-001+/-     0.036841%    +i  -0.1430061091E+000+/-     0.036835%
  5     0.7311805267E-001+/-     0.036914%    +i  -0.1395700645E+000+/-     0.036911%
  6     0.7318555557E-001+/-     0.038266%    +i  -0.1270435637E+000+/-     0.038264%
  7     0.8486442702E-001+/-     0.036762%    +i  -0.1342836818E+000+/-     0.036761%
  8     0.8365495337E-001+/-     0.038181%    +i  -0.1211926583E+000+/-     0.038180%
  9     0.8305586557E-001+/-     0.039406%    +i  -0.1105149373E+000+/-     0.039405%
 10     0.8762162592E-001+/-     0.039375%    +i  -0.1072090853E+000+/-     0.039375%
 11     0.9558406616E-001+/-     0.038604%    +i  -0.1077583992E+000+/-     0.038604%
 12     0.1039001005E+000+/-     0.037850%    +i  -0.1079647460E+000+/-     0.037850%
 13     0.9748088442E-001+/-     0.039872%    +i  -0.9343280933E-001+/-     0.039872%
 14     0.1048698168E+000+/-     0.039163%    +i  -0.9269471954E-001+/-     0.039163%
