 ============================================
 Beta  0.800000000000000      L           8 Order           1 Seed  -265386710
   500000000.000000        11756501.0000000     
 (25600.0000000000,0.000000000000000E+000)
 (9937478.00000000,6.735209660696299E-004)
 (30285.9966683700,-2.052659008096636E-006)   1.00000000000000     
 Order           1
 dx = 0, dy = 0
  0     0.5085399901E-001+/-     0.085125%    +i  -0.1703214853E+000+/-     0.085125%
  1     0.5644519486E-001+/-     0.059790%    +i  -0.1712554416E+000+/-     0.059761%
  2     0.5445090669E-001+/-     0.064705%    +i  -0.1439617729E+000+/-     0.064684%
  3     0.5898647178E-001+/-     0.065247%    +i  -0.1393716736E+000+/-     0.065233%
  4     0.6952589483E-001+/-     0.062878%    +i  -0.1473547535E+000+/-     0.062869%
  5     0.6909386427E-001+/-     0.065801%    +i  -0.1317473282E+000+/-     0.065795%
  6     0.6855126038E-001+/-     0.068523%    +i  -0.1188174109E+000+/-     0.068519%
  7     0.7505313917E-001+/-     0.067731%    +i  -0.1186501206E+000+/-     0.067728%
  8     0.7061694937E-001+/-     0.071983%    +i  -0.1022867704E+000+/-     0.071981%
  9     0.8058484621E-001+/-     0.069338%    +i  -0.1070061749E+000+/-     0.069337%
 10     0.1063422422E+000+/-     0.061898%    +i  -0.1301746889E+000+/-     0.061898%
 11     0.9107058859E-001+/-     0.068519%    +i  -0.1025848648E+000+/-     0.068519%
 12     0.9687002869E-001+/-     0.067884%    +i  -0.1007332097E+000+/-     0.067884%
 13     0.9900378200E-001+/-     0.068518%    +i  -0.9495203472E-001+/-     0.068518%
 14     0.1061727308E+000+/-     0.067419%    +i  -0.9382000731E-001+/-     0.067419%
 15     0.1153501851E+000+/-     0.065795%    +i  -0.9395146322E-001+/-     0.065795%
 16     0.1144068484E+000+/-     0.067115%    +i  -0.8574735661E-001+/-     0.067115%
 17     0.1411114117E+000+/-     0.061313%    +i  -0.9713416635E-001+/-     0.061313%
 18     0.1067864708E+000+/-     0.071428%    +i  -0.6730859024E-001+/-     0.071428%
 19     0.1183301788E+000+/-     0.068680%    +i  -0.6811280318E-001+/-     0.068680%
 20     0.1118503724E+000+/-     0.071428%    +i  -0.5850840505E-001+/-     0.071429%
 21     0.1298082815E+000+/-     0.066964%    +i  -0.6144728525E-001+/-     0.066965%
 22     0.1363157102E+000+/-     0.065937%    +i  -0.5795813948E-001+/-     0.065939%
 23     0.1379262961E+000+/-     0.066081%    +i  -0.5222071252E-001+/-     0.066084%
 24     0.1185614008E+000+/-     0.071795%    +i  -0.3941077834E-001+/-     0.071801%
 25     0.1286901314E+000+/-     0.069337%    +i  -0.3718967586E-001+/-     0.069346%
 26     0.1338628241E+000+/-     0.068358%    +i  -0.3278817797E-001+/-     0.068373%
 27     0.1457971139E+000+/-     0.065795%    +i  -0.2958155080E-001+/-     0.065819%
 28     0.1258694875E+000+/-     0.071066%    +i  -0.2041888234E-001+/-     0.071116%
 29     0.1387518178E+000+/-     0.067884%    +i  -0.1668087763E-001+/-     0.067980%
 30     0.1264731998E+000+/-     0.071246%    +i  -0.1003094402E-001+/-     0.071502%
 31     0.1357748215E+000+/-     0.068842%    +i  -0.5497821811E-002+/-     0.069923%
 32     0.1558501831E+000+/-     0.064282%    +i  -0.1056287782E-010+/-     0.000000%
 33     0.1357748215E+000+/-     0.068842%    +i   0.5497821793E-002+/-     0.069923%
 34     0.1264731998E+000+/-     0.071246%    +i   0.1003094401E-001+/-     0.071502%
 35     0.1387518178E+000+/-     0.067884%    +i   0.1668087762E-001+/-     0.067980%
 36     0.1258694875E+000+/-     0.071066%    +i   0.2041888232E-001+/-     0.071116%
 37     0.1457971139E+000+/-     0.065795%    +i   0.2958155078E-001+/-     0.065819%
