  0.700000000000000                4           8           8           8
   15696000000000.0      (618281684.000000,1.970343923288594E-002)
 (33436.7346938776,0.000000000000000E+000)
   12598983582.0000        1.00000000000000     
  0   0.4916163608E-001    +i  -0.1711519353E+000
  1   0.5448784572E-001    +i  -0.1643745558E+000
  2   0.6059158146E-001    +i  -0.1604458030E+000
  3   0.6482918352E-001    +i  -0.1525528428E+000
  4   0.6809462415E-001    +i  -0.1436362726E+000
  5   0.7463576662E-001    +i  -0.1419956130E+000
  6   0.8142344478E-001    +i  -0.1406543025E+000
  7   0.8270544168E-001    +i  -0.1304087868E+000
  8   0.8705919444E-001    +i  -0.1255974670E+000
  9   0.9355846539E-001    +i  -0.1238191598E+000
 10   0.9537525457E-001    +i  -0.1159485157E+000
 11   0.9352902387E-001    +i  -0.1048867812E+000
 12   0.1014314465E+000    +i  -0.1046724116E+000
 13   0.1034342249E+000    +i  -0.9841285266E-001
 14   0.1048401129E+000    +i  -0.9198587167E-001
 15   0.1107634146E+000    +i  -0.8948048399E-001
 16   0.1141831480E+000    +i  -0.8478253810E-001
 17   0.1169839541E+000    +i  -0.7967370585E-001
 18   0.1229805712E+000    +i  -0.7659892620E-001
 19   0.1194948590E+000    +i  -0.6783947483E-001
 20   0.1251287890E+000    +i  -0.6443544542E-001
 21   0.1244363540E+000    +i  -0.5784544823E-001
 22   0.1290168972E+000    +i  -0.5371986178E-001
 23   0.1274766783E+000    +i  -0.4712108702E-001
 24   0.1311784328E+000    +i  -0.4249365783E-001
 25   0.1401826672E+000    +i  -0.3919060772E-001
 26   0.1430752932E+000    +i  -0.3380176985E-001
 27   0.1441351085E+000    +i  -0.2793880513E-001
 28   0.1460181858E+000    +i  -0.2218247688E-001
 29   0.1483063951E+000    +i  -0.1638777773E-001
 30   0.1533161704E+000    +i  -0.1065821953E-001
 31   0.1519892347E+000    +i  -0.4371604080E-002
 32   0.1577827561E+000    +i   0.1872530564E-002
 33   0.1511550142E+000    +i   0.7934619200E-002
 34   0.1457879535E+000    +i   0.1360772604E-001
 35   0.1506301605E+000    +i   0.2023764874E-001
 36   0.1466045635E+000    +i   0.2581492106E-001
 37   0.1440941212E+000    +i   0.3145313317E-001
 38   0.1369189689E+000    +i   0.3577867761E-001
 39   0.1364620689E+000    +i   0.4165844232E-001
 40   0.1306162367E+000    +i   0.4576288306E-001
 41   0.1339161333E+000    +i   0.5316215819E-001
 42   0.1310787518E+000    +i   0.5829823933E-001
 43   0.1286379002E+000    +i   0.6361423528E-001
 44   0.1246290827E+000    +i   0.6809976824E-001
 45   0.1220201607E+000    +i   0.7328112495E-001
 46   0.1227347836E+000    +i   0.8071620849E-001
 47   0.1140601725E+000    +i   0.8187652005E-001
 48   0.1128633051E+000    +i   0.8820895164E-001
 49   0.1105494341E+000    +i   0.9396343227E-001
 50   0.1113229908E+000    +i   0.1027208362E+000
 51   0.1033244065E+000    +i   0.1035021712E+000
 52   0.9923154217E-001    +i   0.1078931939E+000
 53   0.9474250127E-001    +i   0.1119563717E+000
 54   0.9336645949E-001    +i   0.1199203837E+000
 55   0.8982587080E-001    +i   0.1256099356E+000
 56   0.8466224375E-001    +i   0.1292459663E+000
 57   0.8336205494E-001    +i   0.1398150003E+000
 58   0.7782119545E-001    +i   0.1433557942E+000
 59   0.7406805192E-001    +i   0.1513059490E+000
 60   0.7004846378E-001    +i   0.1593845356E+000
 61   0.6270057891E-001    +i   0.1599282006E+000
 62   0.5913706022E-001    +i   0.1717806195E+000
 63   0.5088143754E-001    +i   0.1705210574E+000
 
